SampleName,CellType,Embryo,EmbryoStage
"Em3_A5.1","A5.1",3,"16"
"Em3_A5.2","A5.2",3,"16"
"Em3_a5.3","a5.3",3,"16"
"Em3_a5.4","a5.4",3,"16"
"Em3_B5.1","B5.1",3,"16"
"Em3_B5.2","B5.2",3,"16"
"Em3_b5.3","b5.3",3,"16"
"Em3_b5.4","b5.4",3,"16"
"Em2_A5.1","A5.1",2,"16"
"Em1_A5.1","A5.1",1,"16"
"Em1_A5.2","A5.2",1,"16"
"Em2_A5.2","A5.2",2,"16"
"Em1_a5.3","a5.3",1,"16"
"Em2_a5.3","a5.3",2,"16"
"Em1_a5.4","a5.4",1,"16"
"Em2_a5.4","a5.4",2,"16"
"Em2_B5.1","B5.1",2,"16"
"Em1_B5.1","B5.1",1,"16"
"Em2_B5.2","B5.2",2,"16"
"Em1_B5.2","B5.2",1,"16"
"Em1_b5.3","b5.3",1,"16"
"Em2_b5.3","b5.3",2,"16"
"Em2_b5.4","b5.4",2,"16"
"Em1_b5.4","b5.4",1,"16"
"Em4_A5.1","A5.1",4,"16"
"Em4_A5.2","A5.2",4,"16"
"Em4_a5.3","a5.3",4,"16"
"Em4_a5.4","a5.4",4,"16"
"Em4_B5.1","B5.1",4,"16"
"Em4_B5.2","B5.2",4,"16"
"Em4_b5.3","b5.3",4,"16"
"Em4_b5.4","b5.4",4,"16"